Season,TeamID,adj_o,adj_d,luck,rank,adj_em
2011,1258,100.0,104.2,-0.1,201,0.3849
2011,1258,100.0,104.2,-0.1,201,0.3849
2011,1177,101.5,105.9,-0.045,202,0.3821
2011,1222,100.8,105.1,0.006,203,0.3817
2011,1399,99.7,104.0,0.067,204,0.3799
2011,1399,99.7,104.0,0.067,204,0.3799
2011,1399,99.7,104.0,0.067,204,0.3799
2011,1399,99.7,104.0,0.067,204,0.3799
2011,1176,96.8,101.4,-0.057,205,0.3706
2011,1263,103.1,107.9,-0.054000000000000006,206,0.3704
2011,1383,96.5,101.1,-0.016,207,0.3703
2011,1150,99.1,103.8,-0.011000000000000001,208,0.3687
2011,1461,97.9,102.6,-0.055999999999999994,209,0.3681
2011,1114,99.5,104.4,0.044000000000000004,210,0.3659
2011,1114,99.5,104.4,0.044000000000000004,210,0.3659
2011,1114,99.5,104.4,0.044000000000000004,210,0.3659
2011,1114,99.5,104.4,0.044000000000000004,210,0.3659
2011,1169,98.7,103.7,0.001,211,0.3603
2011,1373,97.0,102.0,-0.005,212,0.3595
2011,1456,101.6,106.8,-0.055999999999999994,213,0.3592
2011,1423,99.0,104.2,0.002,214,0.3561
2011,1423,99.0,104.2,0.002,214,0.3561
2011,1423,99.0,104.2,0.002,214,0.3561
2011,1423,99.0,104.2,0.002,214,0.3561
2011,1111,102.5,107.9,0.044000000000000004,215,0.3558
2011,1149,101.2,106.7,-0.061,216,0.3519
2011,1149,101.2,106.7,-0.061,216,0.3519
2011,1149,101.2,106.7,-0.061,216,0.3519
2011,1149,101.2,106.7,-0.061,216,0.3519
2011,1120,95.3,100.5,0.001,217,0.3518
2011,1414,100.7,106.3,-0.049,218,0.3501
2011,1414,100.7,106.3,-0.049,218,0.3501
2011,1414,100.7,106.3,-0.049,218,0.3501
2011,1414,100.7,106.3,-0.049,218,0.3501
2011,1179,98.5,104.1,-0.01,219,0.3484
2011,1162,98.6,104.2,0.038,220,0.347
2011,1248,100.6,106.3,-0.03,221,0.3456
2011,1392,92.8,98.1,-0.025,222,0.3454
2011,1392,92.8,98.1,-0.025,222,0.3454
2011,1392,92.8,98.1,-0.025,222,0.3454
2011,1392,92.8,98.1,-0.025,222,0.3454
2011,1427,100.1,106.0,0.05,223,0.3415
2011,1427,100.1,106.0,0.05,223,0.3415
2011,1427,100.1,106.0,0.05,223,0.3415
2011,1427,100.1,106.0,0.05,223,0.3415
2011,1427,100.1,106.0,0.05,223,0.3415
2011,1427,100.1,106.0,0.05,223,0.3415
2011,1427,100.1,106.0,0.05,223,0.3415
2011,1427,100.1,106.0,0.05,223,0.3415
2011,1427,100.1,106.0,0.05,223,0.3415
2011,1221,100.0,106.1,-0.15,224,0.3356
2011,1221,100.0,106.1,-0.15,224,0.3356
2011,1221,100.0,106.1,-0.15,224,0.3356
2011,1221,100.0,106.1,-0.15,224,0.3356
2011,1443,98.4,104.5,0.018000000000000002,225,0.3354
2011,1443,98.4,104.5,0.018000000000000002,225,0.3354
2011,1443,98.4,104.5,0.018000000000000002,225,0.3354
2011,1443,98.4,104.5,0.018000000000000002,225,0.3354
2011,1418,97.6,103.6,0.03,226,0.3347
2011,1457,94.3,100.1,-0.04,227,0.334
2011,1337,102.2,108.5,0.006,228,0.3324
2011,1214,91.9,97.8,0.025,229,0.3304
2011,1209,92.4,98.3,-0.031,230,0.3281
2011,1261,93.1,99.1,-0.055,231,0.3277
2011,1261,93.1,99.1,-0.055,231,0.3277
2011,1311,95.7,101.9,-0.051,232,0.3268
2011,1249,98.6,105.5,-0.126,233,0.315
2011,1398,100.0,107.2,0.022000000000000002,234,0.3119
2011,1184,100.8,108.0,-0.027000000000000003,235,0.3095
2011,1184,100.8,108.0,-0.027000000000000003,235,0.3095
2011,1184,100.8,108.0,-0.027000000000000003,235,0.3095
2011,1184,100.8,108.0,-0.027000000000000003,235,0.3095
2011,1356,94.3,101.3,0.034,236,0.3073
2011,1356,94.3,101.3,0.034,236,0.3073
2011,1356,94.3,101.3,0.034,236,0.3073
2011,1356,94.3,101.3,0.034,236,0.3073
2011,1251,96.0,103.0,0.086,237,0.3072
2011,1316,96.8,103.9,0.087,238,0.3071
2011,1316,96.8,103.9,0.087,238,0.3071
2011,1316,96.8,103.9,0.087,238,0.3071
2011,1316,96.8,103.9,0.087,238,0.3071
2011,1189,102.6,110.2,-0.013999999999999999,239,0.3047
2011,1447,97.5,105.0,0.027000000000000003,240,0.3
2011,1413,101.2,108.9,-0.095,241,0.2999
2011,1413,101.2,108.9,-0.095,241,0.2999
2011,1413,101.2,108.9,-0.095,241,0.2999
2011,1413,101.2,108.9,-0.095,241,0.2999
2011,1107,99.6,107.3,0.025,242,0.2979
2011,1402,99.3,107.1,0.036000000000000004,243,0.2963
